Seitan,1.43,100g,dollar,37,2025-12-05T07:31:50.241922
Tempe,3.0,200g,euro,37,2025-12-05T07:31:50.241922
Tofu,11.05,400g,euro,37,2025-12-05T07:31:50.241922
Seitan,0.78,150g,dollar,46,2025-12-05T07:33:20.182516
Tempe,3.19,300g,euro,46,2025-12-05T07:33:20.182516
Tofu,10.73,300g,euro,46,2025-12-05T07:33:20.182516
Seitan,0.7,150g,dollar,47,2025-12-05T07:33:29.446094
Tempe,3.24,300g,euro,47,2025-12-05T07:33:29.446094
Tofu,10.68,300g,euro,47,2025-12-05T07:33:29.446094
Seitan,0.19,150g,dollar,194,2025-12-05T07:58:01.478194
Tempe,2.27,350g,euro,194,2025-12-05T07:58:01.478194
Tofu,9.96,300g,euro,194,2025-12-05T07:58:01.478194
Seitan,0.12,150g,dollar,200,2025-12-05T07:59:01.577304
Tempe,2.09,350g,euro,200,2025-12-05T07:59:01.577304
Tofu,10.04,300g,euro,200,2025-12-05T07:59:01.577304
Seitan,0.35,100g,dollar,206,2025-12-05T08:00:01.674688
Tempe,1.98,350g,euro,206,2025-12-05T08:00:01.674688
Tofu,9.81,200g,euro,206,2025-12-05T08:00:01.674688
Seitan,0.72,100g,dollar,212,2025-12-05T08:01:01.767695
Tempe,2.2,200g,euro,212,2025-12-05T08:01:01.767695
Tofu,9.61,200g,euro,212,2025-12-05T08:01:01.767695
Seitan,1.04,100g,dollar,218,2025-12-05T08:02:01.859152
Tempe,2.36,200g,euro,218,2025-12-05T08:02:01.859152
Tofu,9.74,200g,euro,218,2025-12-05T08:02:01.859152
Seitan,1.23,100g,dollar,224,2025-12-05T08:03:01.951317
Tempe,2.83,200g,euro,224,2025-12-05T08:03:01.951317
Tofu,9.82,400g,euro,224,2025-12-05T08:03:01.951317
Seitan,1.58,100g,dollar,230,2025-12-05T08:04:02.040677
Tempe,2.47,200g,euro,230,2025-12-05T08:04:02.040677
Tofu,9.48,400g,euro,230,2025-12-05T08:04:02.040677
Seitan,1.83,100g,dollar,236,2025-12-05T08:05:01.131971
Tempe,2.42,250g,euro,236,2025-12-05T08:05:01.131971
Tofu,9.17,400g,euro,236,2025-12-05T08:05:01.131971
Seitan,2.02,250g,dollar,242,2025-12-05T08:06:01.236490
Tempe,2.82,250g,euro,242,2025-12-05T08:06:01.236490
Tofu,9.08,200g,euro,242,2025-12-05T08:06:01.236490
